dataset	kc_size	projection_size	trial	top	wta	mean	std
wos11967	1362	7	4	81	13	0.447619047619048	0
wos11967	4010	6	3	82	7	0.633540372670807	0
wos11967	4812	6	3	55	18	0.631469979296066	0
wos11967	3576	6	3	61	15	0.619875776397516	0
wos11967	2764	9	3	89	2	0.525051759834369	0
wos11967	4410	10	0	10	20	0.550724637681159	0
wos11967	4811	7	3	57	19	0.624430641821946	0
wos11967	4817	4	0	26	2	0.655900621118012	0
wos11967	4858	7	0	40	3	0.405383022774327	0
wos11967	4790	6	0	30	13	0.645548654244306	0
wos11967	3973	9	0	93	15	0.514285714285714	0
wos11967	4045	5	0	75	9	0.648861283643892	0
wos11967	4024	4	0	47	2	0.633540372670807	0
wos11967	4073	10	0	38	3	0.381780538302277	0
wos11967	4035	5	0	100	18	0.643478260869565	0
wos11967	3991	4	0	28	20	0.648033126293996	0
wos11967	3954	9	0	18	12	0.509316770186335	0
wos11967	4006	4	0	54	20	0.648447204968944	0
wos11967	3527	7	0	45	16	0.599585921325052	0
wos11967	3577	9	0	12	18	0.460041407867495	0
wos11967	3549	9	0	93	6	0.448033126293996	0
wos11967	4018	5	0	17	14	0.643064182194617	0
wos11967	4768	8	0	65	2	0.515527950310559	0
wos11967	4071	6	0	100	3	0.616977225672878	0
wos11967	4801	6	0	13	19	0.633126293995859	0
wos11967	3621	6	0	73	15	0.61656314699793	0
wos11967	3664	5	0	98	2	0.636024844720497	0
wos11967	3672	5	0	56	6	0.639751552795031	0
wos11967	3704	4	0	80	11	0.641407867494824	0
wos11967	3714	6	0	39	2	0.619047619047619	0
wos11967	3749	10	0	80	2	0.354451345755694	0
wos11967	3675	6	0	15	6	0.622774327122153	0
wos11967	3472	9	0	28	16	0.582608695652174	0
wos11967	3385	10	0	37	16	0.423188405797101	0
wos11967	3713	4	0	10	20	0.610766045548654	0
wos11967	807	7	0	56	15	0.342857142857143	0
wos11967	2101	4	0	84	13	0.535403726708075	0
wos11967	1744	9	0	11	13	0.504347826086956	0
wos11967	2437	5	0	10	11	0.566873706004141	0
wos11967	2368	9	0	90	14	0.271635610766046	0
wos11967	2527	5	0	15	10	0.579710144927536	0
wos11967	2575	5	0	80	18	0.556935817805383	0
wos11967	3061	10	0	16	11	0.573084886128364	0
wos11967	3087	9	0	98	12	0.585093167701863	0
wos11967	3140	4	0	47	8	0.630227743271222	0
wos11967	3161	4	0	94	3	0.589233954451346	0
wos11967	3187	10	0	27	6	0.477018633540373	0
wos11967	3101	8	0	51	5	0.589648033126294	0
wos11967	3011	6	0	86	17	0.618219461697723	0
wos11967	2980	9	0	44	2	0.535403726708075	0
wos11967	502	10	0	14	18	0.160662525879917	0
wos11967	1096	9	0	11	9	0.39296066252588	0
wos11967	2636	10	0	10	12	0.563146997929607	0
wos11967	4526	8	0	97	6	0.614906832298137	0
wos11967	4551	6	0	36	17	0.645962732919255	0
wos11967	4590	9	0	73	8	0.552795031055901	0
wos11967	4502	8	0	41	6	0.519668737060041	0
wos11967	4591	4	0	10	20	0.677846790890269	0
wos11967	4638	5	0	13	7	0.65879917184265	0
wos11967	4677	5	0	43	20	0.653416149068323	0
wos11967	4707	6	0	10	18	0.634782608695652	0
wos11967	4672	4	0	100	2	0.641407867494824	0
wos11967	4292	7	0	99	8	0.603312629399586	0
wos11967	4280	5	0	24	4	0.641407867494824	0
wos11967	4233	4	0	55	20	0.650517598343685	0
wos11967	4215	8	0	13	3	0.480745341614907	0
wos11967	4226	10	0	96	2	0.560248447204969	0
wos11967	4325	4	0	46	20	0.653002070393375	0
wos11967	4368	7	0	95	17	0.601656314699793	0
wos11967	4276	10	0	58	20	0.45175983436853	0
wos11967	4327	9	0	12	8	0.579296066252588	0
wos11967	4645	10	0	56	2	0.433540372670807	0
wos11967	4676	7	0	14	17	0.62111801242236	0
wos11967	4703	4	0	67	20	0.664182194616977	0
wos11967	4561	6	0	13	3	0.621532091097308	0
wos11967	4708	7	0	42	7	0.625258799171843	0
wos11967	4709	5	0	98	4	0.663354037267081	0
wos11967	4331	5	0	75	2	0.640165631469979	0
wos11967	4367	4	0	43	17	0.67536231884058	0
wos11967	4396	8	0	61	2	0.421946169772257	0
wos11967	4346	5	0	47	4	0.648861283643892	0
wos11967	4190	7	0	67	19	0.412422360248447	0
wos11967	4617	4	0	10	20	0.673706004140787	0
wos11967	4364	4	0	15	20	0.648447204968944	0
wos11967	1566	9	0	93	3	0.449275362318841	0
wos11967	1914	10	0	98	3	0.491097308488613	0
wos11967	2218	7	0	11	3	0.549068322981366	0
wos11967	972	6	0	99	14	0.319668737060041	0
wos11967	4997	5	0	99	10	0.650103519668737	0
wos11967	4991	7	0	55	8	0.628571428571429	0
wos11967	4955	4	0	92	20	0.669565217391304	0
wos11967	4949	6	0	52	17	0.617391304347826	0
wos11967	4917	6	0	98	9	0.433126293995859	0
wos11967	4985	6	0	11	17	0.526293995859213	0
wos11967	4966	8	0	79	2	0.392132505175983	0
wos11967	4687	4	0	78	6	0.677846790890269	0
wos11967	4691	10	0	97	20	0.505175983436853	0
wos11967	4718	8	0	74	3	0.602898550724638	0
wos11967	4349	10	0	34	20	0.436438923395445	0
wos11967	4687	6	0	57	6	0.638923395445134	0
wos11967	4601	4	0	11	3	0.671221532091097	0
wos11967	4603	4	0	24	14	0.674948240165632	0
wos11967	4577	6	0	24	14	0.638509316770186	0
wos11967	4356	8	0	65	11	0.618219461697723	0
wos11967	4026	10	0	70	20	0.457556935817805	0
wos11967	4619	4	0	18	2	0.631055900621118	0
wos11967	4007	8	0	37	16	0.601242236024845	0
wos11967	4316	7	0	52	5	0.615320910973085	0
wos11967	4380	6	0	28	17	0.615734989648033	0
wos11967	3679	5	0	77	17	0.636853002070393	0
wos11967	4817	10	0	33	19	0.381366459627329	0
wos11967	4700	4	0	65	3	0.662111801242236	0
wos11967	4802	6	0	15	3	0.619461697722567	0
wos11967	4047	6	0	92	3	0.630227743271222	0
wos11967	4683	8	0	66	19	0.602484472049689	0
wos11967	4333	7	0	61	15	0.464182194616977	0
wos11967	4603	5	0	11	18	0.645134575569358	0
wos11967	4699	4	0	81	10	0.656314699792961	0
wos11967	4629	9	0	23	20	0.431884057971014	0
wos11967	4591	4	1	19	8	0.659627329192547	0
wos11967	4366	7	0	49	4	0.62360248447205	0
wos11967	4697	8	0	46	20	0.508488612836439	0
wos11967	3693	7	0	68	13	0.4	0
wos11967	4697	10	0	76	3	0.535403726708075	0
wos11967	4592	4	0	22	20	0.664182194616977	0
wos11967	4582	5	0	11	19	0.660041407867495	0
wos11967	4709	4	0	60	10	0.660455486542443	0
wos11967	4675	8	0	82	4	0.489855072463768	0
wos11967	4696	5	0	63	13	0.65175983436853	0
wos11967	4690	5	0	75	16	0.642650103519669	0
wos11967	4603	10	0	22	2	0.420289855072464	0
wos11967	4711	4	0	89	13	0.672463768115942	0
wos11967	4711	4	1	76	16	0.674120082815735	0
wos11967	4720	9	0	94	11	0.427743271221532	0
wos11967	4701	5	0	93	6	0.647619047619048	0
wos11967	4587	9	0	12	12	0.611180124223602	0
wos11967	4612	4	0	17	14	0.666666666666667	0
wos11967	4048	7	0	88	15	0.617805383022774	0
wos11967	4703	7	0	87	20	0.598343685300207	0
wos11967	4377	4	0	45	15	0.642236024844721	0
wos11967	4788	4	0	16	12	0.672463768115942	0
wos11967	4785	9	0	21	19	0.457971014492754	0
wos11967	4707	9	0	70	11	0.412836438923395	0
wos11967	4796	5	0	19	10	0.652173913043478	0
wos11967	4703	9	0	57	4	0.573913043478261	0
wos11967	4708	4	0	58	19	0.665010351966874	0
wos11967	4599	4	0	17	10	0.654658385093168	0
wos11967	4788	4	1	21	4	0.672049689440994	0
wos11967	4790	10	0	12	7	0.573498964803313	0
wos11967	4709	5	1	85	5	0.648447204968944	0
wos11967	4685	5	0	70	9	0.673291925465839	0
wos11967	4371	7	0	38	8	0.613250517598344	0
wos11967	4797	4	0	32	3	0.655486542443064	0
wos11967	4785	4	0	33	3	0.670393374741201	0
wos11967	4558	4	0	26	12	0.666252587991718	0
wos11967	4553	6	0	30	3	0.629813664596273	0
wos11967	4566	8	0	32	19	0.537060041407867	0
wos11967	4722	5	0	60	17	0.648447204968944	0
wos11967	4547	5	0	20	9	0.637267080745342	0
wos11967	4723	6	0	73	18	0.643892339544513	0
wos11967	4714	4	0	51	13	0.651345755693582	0
wos11967	4791	4	0	43	5	0.679089026915114	0
wos11967	4801	5	0	55	7	0.644306418219462	0
wos11967	4791	6	0	46	15	0.620703933747412	0
wos11967	4723	6	1	57	4	0.62360248447205	0
wos11967	3665	7	0	79	9	0.610766045548654	0
wos11967	4370	5	0	55	20	0.647204968944099	0
wos11967	4003	4	0	18	18	0.643892339544513	0
wos11967	4006	4	1	21	4	0.637267080745342	0
wos11967	3677	4	0	91	15	0.629813664596273	0
wos11967	4317	7	0	36	17	0.394616977225673	0
wos11967	3992	4	0	29	5	0.643478260869565	0
wos11967	3990	6	0	15	11	0.636438923395445	0
wos11967	4058	8	0	79	5	0.597929606625259	0
wos11967	4949	9	0	100	17	0.412422360248447	0
wos11967	4554	4	0	15	19	0.667080745341615	0
wos11967	4033	4	0	90	5	0.640165631469979	0
wos11967	4562	7	0	11	16	0.63064182194617	0
wos11967	4543	8	0	24	19	0.53871635610766	0
wos11967	4577	4	0	19	4	0.662111801242236	0
wos11967	4800	9	0	41	2	0.402070393374741	0
wos11967	4781	8	0	45	8	0.501863354037267	0
wos11967	3999	10	0	24	16	0.522981366459627	0
wos11967	4607	6	0	25	20	0.626086956521739	0
wos11967	4007	8	1	11	13	0.602898550724638	0
wos11967	4040	10	0	82	3	0.459213250517598	0
wos11967	4615	6	0	11	12	0.628985507246377	0
wos11967	4691	6	0	64	4	0.646376811594203	0
wos11967	4361	6	0	50	17	0.623188405797101	0
wos11967	4584	5	0	30	5	0.636438923395445	0
wos11967	4571	5	0	29	5	0.652587991718427	0
wos11967	4039	6	0	99	8	0.611180124223602	0
wos11967	4562	7	1	23	3	0.613250517598344	0
wos11967	4960	6	0	83	19	0.639751552795031	0
wos11967	3983	4	0	26	13	0.63064182194617	0
wos11967	4594	4	0	31	15	0.636438923395445	0
wos11967	4026	5	0	100	7	0.642236024844721	0
wos11967	4052	7	0	68	18	0.610766045548654	0
wos11967	3987	8	0	39	17	0.617391304347826	0
wos11967	4056	4	0	98	8	0.648447204968944	0
wos11967	4715	4	0	82	20	0.664182194616977	0
wos11967	4674	4	0	51	11	0.66128364389234	0
wos11967	4666	10	0	45	19	0.493581780538302	0
wos11967	4677	8	0	43	5	0.612836438923395	0
wos11967	4019	4	0	28	6	0.65175983436853	0
wos11967	4019	5	0	92	16	0.653002070393375	0
wos11967	4020	4	0	90	3	0.669979296066253	0
wos11967	4005	5	0	97	5	0.638509316770186	0
wos11967	4010	4	0	51	7	0.64472049689441	0
wos11967	4819	4	0	14	2	0.650931677018634	0
wos11967	4022	4	0	42	13	0.634368530020704	0
wos11967	4025	7	0	28	18	0.605383022774327	0
wos11967	4012	4	0	38	2	0.632298136645963	0
wos11967	3711	8	0	88	11	0.434368530020704	0
wos11967	4830	6	0	20	2	0.622774327122153	0
wos11967	4715	4	1	67	20	0.676604554865425	0
wos11967	4648	4	0	10	2	0.651345755693582	0
wos11967	3998	9	0	53	9	0.613250517598344	0
wos11967	4966	5	0	95	18	0.647619047619048	0
wos11967	4006	5	0	94	17	0.653416149068323	0
wos11967	4807	5	0	66	4	0.645962732919255	0
wos11967	4797	4	1	66	18	0.662939958592133	0
wos11967	4793	4	0	75	11	0.67287784679089	0
wos11967	4802	4	0	82	13	0.683229813664596	0
wos11967	4796	9	0	86	19	0.484886128364389	0
wos11967	4802	5	0	80	6	0.634368530020704	0
wos11967	4809	8	0	77	15	0.627329192546584	0
wos11967	4797	4	2	69	4	0.657142857142857	0
wos11967	4788	4	2	64	10	0.66128364389234	0
wos11967	4013	9	0	97	6	0.47991718426501	0
wos11967	4803	9	0	67	12	0.516356107660455	0
wos11967	3997	10	0	88	11	0.533333333333333	0
wos11967	4791	9	0	59	18	0.481573498964803	0
wos11967	4816	6	0	60	5	0.655072463768116	0
wos11967	4786	5	0	69	3	0.648861283643892	0
wos11967	4809	7	0	87	9	0.632712215320911	0
wos11967	4643	6	0	19	2	0.614906832298137	0
wos11967	4023	4	0	84	7	0.626086956521739	0
wos11967	4023	8	0	14	5	0.612422360248447	0
wos11967	4676	7	1	58	5	0.551966873706004	0
wos11967	4819	4	1	70	6	0.656314699792961	0
wos11967	4555	9	0	17	12	0.58343685300207	0
wos11967	4684	5	0	51	16	0.653002070393375	0
wos11967	4572	6	0	14	11	0.636853002070393	0
wos11967	4784	4	0	72	15	0.658385093167702	0
wos11967	4820	4	0	81	12	0.669565217391304	0
wos11967	4824	5	0	81	2	0.645962732919255	0
wos11967	4825	10	0	82	19	0.433126293995859	0
wos11967	4651	5	0	11	15	0.632298136645963	0
wos11967	4010	4	1	85	18	0.635610766045549	0
wos11967	4829	4	0	61	9	0.663354037267081	0
wos11967	4823	4	0	63	16	0.659213250517598	0
wos11967	4826	10	0	51	6	0.441821946169772	0
wos11967	4048	5	0	66	6	0.653002070393375	0
wos11967	4834	6	0	73	5	0.64472049689441	0
wos11967	4813	6	0	80	5	0.414906832298137	0
wos11967	4790	5	0	28	4	0.648033126293996	0
wos11967	4792	4	0	78	3	0.661697722567288	0
wos11967	4827	9	0	70	6	0.469151138716356	0
wos11967	4597	8	0	23	14	0.626501035196687	0
wos11967	4586	5	0	25	12	0.662525879917184	0
wos11967	4371	10	0	46	20	0.591304347826087	0
wos11967	4645	10	1	10	8	0.456314699792961	0
wos11967	4715	10	0	58	13	0.445548654244306	0
wos11967	4790	4	0	34	7	0.676190476190476	0
wos11967	4594	4	1	10	2	0.642650103519669	0
wos11967	4792	4	1	69	15	0.669565217391304	0
wos11967	4705	4	0	85	13	0.664596273291926	0
wos11967	4027	8	0	96	17	0.61407867494824	0
wos11967	4589	4	0	17	16	0.667908902691511	0
wos11967	4610	9	0	14	19	0.421532091097309	0
wos11967	4816	7	0	64	10	0.537060041407867	0
wos11967	4596	9	0	14	17	0.61407867494824	0
wos11967	4580	7	0	20	9	0.633126293995859	0
wos11967	4585	7	0	20	17	0.624430641821946	0
wos11967	4688	9	0	73	9	0.488612836438923	0
wos11967	4712	6	0	84	16	0.511801242236025	0
wos11967	4707	4	0	90	12	0.662939958592133	0
wos11967	4786	7	0	72	12	0.628571428571429	0
wos11967	4703	4	1	61	16	0.670393374741201	0
wos11967	4793	7	0	72	5	0.57639751552795	0
wos11967	4607	4	0	13	8	0.670393374741201	0
wos11967	4785	4	1	29	8	0.669565217391304	0
wos11967	4802	5	1	77	11	0.653002070393375	0
wos11967	4579	8	0	28	9	0.608281573498965	0
wos11967	4714	7	0	72	19	0.546169772256729	0
wos11967	4710	4	0	92	6	0.649275362318841	0
wos11967	4791	4	1	24	10	0.677432712215321	0
wos11967	4026	5	1	91	8	0.653830227743271	0
wos11967	4961	6	0	89	19	0.638509316770186	0
wos11967	4601	4	1	11	8	0.660869565217391	0
wos11967	4686	5	0	64	10	0.651345755693582	0
wos11967	4681	7	0	47	12	0.613250517598344	0
wos11967	4701	4	0	57	11	0.665424430641822	0
wos11967	4794	7	0	81	9	0.634368530020704	0
wos11967	4721	4	0	65	20	0.667080745341615	0
wos11967	4702	4	0	76	18	0.660869565217391	0
wos11967	4610	4	0	22	11	0.674534161490683	0
wos11967	4011	6	0	29	5	0.636438923395445	0
wos11967	4614	4	0	17	8	0.66832298136646	0
wos11967	4692	4	0	83	11	0.64472049689441	0
wos11967	4796	5	1	60	6	0.628571428571429	0
wos11967	4728	4	0	65	15	0.662525879917184	0
wos11967	4830	4	0	61	17	0.65424430641822	0
wos11967	4559	4	0	20	19	0.64472049689441	0
